location	country	country_size	rank	region	region_modifier	target_value	raw_score	special_treatment	capital_override
khyunglung	ZHZ	40	town	himalayan_region	5	-1.000	24.268	yes	2
kibyra	KIB	4	rural_settlement	cilicia_region	15	-3.000	14.540	no	0
knidos	KNI	2	town	asia_region	25	-1.000	20.577	no	0
knossos	KNO	1	town	greece_region	30	8.000	25.378	no	0
komana_hierapolis	KAP	18	town	cappadocia_region	15	1.000	24.583	no	0
komana_pontike	KOM	3	town	cappadocia_pontica_region	10	-2.000	19.738	no	0
kondapuram	ASM	31	rural_settlement	vindhyaprstha_region	25	-3.000	20.632	no	0
konghelle	LEU	6	rural_settlement	scandinavia_region	0	-3.000	11.078	no	0
korinthos	KOR	1	town	greece_region	30	3.000	21.666	no	0
korkyra	KRK	3	town	greece_region	30	0.000	21.251	no	0
korotan	SCI	6	rural_settlement	vistulia_region	0	-8.000	6.462	no	0
kos	KOS	3	rural_settlement	asia_region	25	-3.000	18.144	no	0
kotais	COL	22	town	colchis_region	12	0.000	24.351	no	0
kotenna	KTN	2	rural_settlement	cilicia_region	15	-3.000	12.951	no	0
kottis	TM3	3	rural_settlement	dravida_region	25	-3.000	17.742	no	0
kuche	KSA	5	town	himalayan_region	5	8.000	27.394	no	0
kumo	GMO	2	rural_settlement	himalayan_region	5	-3.000	17.052	no	0
kydonia	KYD	1	town	greece_region	30	4.000	22.853	no	0
kyrene	CYR	33	town	cyrenaica_region	13	10.000	32.010	yes	5
kyzikos	KZK	4	town	asia_region	25	3.000	23.228	no	0
lacon	KEL	3	rural_settlement	central_italy_region	28	-3.000	14.498	no	0
lancia	LCN	4	rural_settlement	gallaecia_region	10	-3.000	17.159	no	0
langobardia	LGB	6	rural_settlement	germania_region	0	-3.000	13.268	no	0
lappa	LAP	1	rural_settlement	greece_region	30	-3.000	16.541	no	0
laranda	LAR	3	rural_settlement	galatia_region	12	-3.000	13.595	no	0
laudicum	MNI	8	rural_settlement	vistulia_region	0	-8.000	9.409	no	0
lausonna	VRB	5	rural_settlement	rhaetia_region	7	-3.000	16.941	no	0
layla	AX3	5	rural_settlement	arabia_region	5	-3.000	12.269	no	0
lemeshevichi	NEU	31	rural_settlement	borysthenia_region	0	-3.000	22.521	no	0
leptis_magna	TRP	10	rural_settlement	cyrenaica_region	13	-3.000	19.665	no	0
leptis_minor	LPT	1	city	africa_region	20	3.000	23.887	no	0
levobrinta	ORD	7	rural_settlement	britain_region	10	-3.000	15.266	no	0
lexoviorum	LXV	4	rural_settlement	armorica_region	10	-3.000	12.904	no	0
lhasa	SMP	22	town	tibet_region	0	5.000	27.958	no	0
libarna	EPA	5	rural_settlement	cisalpine_gaul_region	15	-3.000	17.565	no	0
libisonis	CRC	3	rural_settlement	central_italy_region	28	-3.000	13.344	no	0
limia	LUN	4	rural_settlement	gallaecia_region	10	-3.000	13.415	no	0
limonum	PCS	16	rural_settlement	aquitaine_region	10	-3.000	18.985	no	0
limusa	ADZ	7	rural_settlement	pannonia_region	5	-3.000	16.783	no	0
lingum	RUG	4	rural_settlement	scandinavia_region	0	-3.000	11.138	no	0
lixisis	BIE	6	rural_settlement	dacia_region	5	-8.000	9.769	no	0
lixus	LIX	3	town	mauretainia_region	5	-6.000	17.169	no	0
lobeton	BOL	7	rural_settlement	contestania_region	15	-3.000	14.388	no	0
locri_0	LOC	3	town	magna_graecia_region	28	-1.000	20.923	no	0
lucus	SUR	2	rural_settlement	gallaecia_region	10	-3.000	16.125	no	0
lucus_asturum	SLI	3	rural_settlement	gallaecia_region	10	-3.000	12.373	no	0
lugdunum_convenarum	BIG	3	rural_settlement	aquitaine_region	10	-3.000	16.371	no	0
lutetia	PRS	6	town	belgica_region	10	-3.000	20.271	no	0
lyctus	LYT	1	rural_settlement	greece_region	30	-3.000	20.070	no	0
lysimacheia	TRE	24	city	thrace_region	20	14.000	35.886	no	0
madurai	PND	19	town	dravida_region	25	11.000	31.931	no	0
maganan	GYM	5	rural_settlement	nubia_region	5	-3.000	14.815	no	0
mahisha	TM2	3	town	karnata_region	23	8.000	26.329	no	0
mahismati	HYA	15	city	aparanta_region	27	11.000	32.194	no	0
mai_adrasha	MDR	5	town	punt_region	5	3.000	23.734	no	0
makarabah	THD	17	rural_settlement	arabia_region	5	-3.000	20.187	no	0
malao	MAL	1	town	punt_region	5	3.000	22.046	no	0
male	MDP	7	rural_settlement	karnata_region	23	-3.000	17.745	no	0
manavia	MON	1	rural_settlement	caledonia_region	0	-3.000	12.278	no	0
mantinea	ARK	5	rural_settlement	greece_region	30	-3.000	18.472	no	0
mantora	HAR	6	rural_settlement	vistulia_region	0	-8.000	8.759	no	0
mantua_carpetania	AEL	2	rural_settlement	contestania_region	15	-3.000	13.374	no	0
mariaba	SHB	20	town	arabia_felix_region	5	8.000	29.874	no	0
mariones	REU	6	rural_settlement	scandinavia_region	0	-3.000	11.884	no	0
marionis	SUA	10	rural_settlement	germania_region	0	-8.000	11.263	no	0
maronis	OTN	2	rural_settlement	pannonia_region	5	-3.000	9.627	no	0
marrakech	ATO	17	rural_settlement	atlas_region	0	-3.000	13.112	no	0
marsonia	BCI	9	rural_settlement	moesia_s_region	5	-3.000	17.384	no	0
massalia	MAS	6	town	transalpine_gaul_region	13	10.000	29.344	no	0
mastia	MAT	3	town	contestania_region	15	1.000	21.972	no	0
matavo	DCA	2	rural_settlement	transalpine_gaul_region	13	-3.000	16.125	no	0
mattium	USI	4	rural_settlement	germania_region	0	-8.000	9.180	no	0
mayurasattapattinam	TDN	5	town	dravida_region	25	11.000	30.802	no	0
mazaka	CAP	43	town	cappadocia_region	15	-1.000	25.205	yes	2
media	RAT	5	rural_settlement	dacia_region	5	-3.000	17.113	no	0
mediolanum_1	INS	15	rural_settlement	cisalpine_gaul_region	15	-3.000	17.350	no	0
megalopolis	MGL	1	town	greece_region	30	5.000	23.477	no	0
megara_0	MGA	1	city	greece_region	30	8.000	27.127	no	0
meidob	MOB	3	town	lower_nubia_region	0	-7.000	16.388	no	0
melange	TM7	4	town	dravida_region	25	1.000	22.087	no	0
meliboia	FOS	3	rural_settlement	germania_region	0	-3.000	11.349	no	0
melocavus	VAN	5	rural_settlement	germania_region	0	-3.000	10.840	no	0
mentesa	MTS	4	rural_settlement	contestania_region	15	-3.000	12.834	no	0
menturia	MSP	4	town	magna_graecia_region	28	-2.000	20.394	no	0
meroe	KSH	83	town	nubia_region	5	-1.000	26.171	yes	4
meschistha_harmozike	IBR	41	town	colchis_region	12	6.000	29.902	yes	5
mesembria	MES	2	city	thrace_region	20	-5.000	18.994	no	0
mesphe	MKA	30	rural_settlement	fezzan_region	0	-3.000	18.887	no	0
messaad	CPA	10	rural_settlement	atlas_region	0	-3.000	14.219	no	0
messene	MSE	3	city	greece_region	30	12.000	30.462	no	0
metallum_vipescense	CMS	6	rural_settlement	lusitania_region	10	-3.000	14.143	no	0
metapontum	MET	1	town	magna_graecia_region	28	4.000	22.820	no	0
miaccum	MOC	3	rural_settlement	contestania_region	15	-3.000	14.123	no	0
miletos	MLO	3	town	asia_region	25	6.000	25.540	no	0
minagana	VDP	3	town	vindhyaprstha_region	25	-1.000	20.272	no	0
mohur	PRB	4	rural_settlement	dravida_region	25	-3.000	19.957	no	0
momalle	CND	4	rural_settlement	belgica_region	10	-3.000	16.281	no	0
monok	AOR	42	rural_settlement	central_asian_steppes_region	0	-3.000	18.343	yes	1
mosylon	MYL	1	town	punt_region	5	9.000	26.820	no	0
moundou	MND	1	town	punt_region	5	5.000	24.118	no	0
mousopalle	STY	6	town	karnata_region	23	1.000	23.237	no	0
mylasa	CIA	18	town	asia_region	25	0.000	23.918	no	0
mytilene	LSB	6	town	asia_region	25	4.000	24.783	no	0
napuca	GTE	30	rural_settlement	dacia_region	5	-3.000	18.361	no	0
narbo	ELY	9	rural_settlement	transalpine_gaul_region	13	-3.000	18.624	no	0
nasagus	PAM	3	rural_settlement	belgica_region	10	-3.000	13.024	no	0
nasikya	RTI	15	town	aparanta_region	27	4.000	26.186	no	0
nemetobriga	GGR	3	rural_settlement	gallaecia_region	10	-3.000	10.900	no	0
ninika	KLT	7	rural_settlement	cilicia_region	15	-3.000	16.558	no	0
nova_augusta	TDI	5	rural_settlement	gallaecia_region	10	-3.000	15.095	no	0
novioregum_santonum	SNT	10	rural_settlement	aquitaine_region	10	-3.000	16.618	no	0
novum_oppidum	SBZ	4	rural_settlement	aquitaine_region	10	-3.000	15.348	no	0
nuceria	NUC	2	town	magna_graecia_region	28	-2.000	19.460	no	0
nyaunggan	NYA	1	rural_settlement	burma_region	5	-3.000	12.980	no	0
ocelum	AVA	3	rural_settlement	lusitania_region	10	-3.000	12.373	no	0
ocules	OLC	6	rural_settlement	contestania_region	15	-3.000	13.492	no	0
odessus	ODS	3	town	moesia_region	15	4.000	23.905	no	0
oescus	TBL	19	rural_settlement	moesia_region	15	-3.000	16.349	no	0
oinoanda	OEO	3	town	cilicia_region	15	-4.000	18.113	no	0
olbasa	OML	3	rural_settlement	cilicia_region	15	-3.000	14.149	no	0
olbe	OBE	2	city	cilicia_region	15	-4.000	19.101	no	0
olbia	OLB	1	town	scythia_region	0	1.000	20.828	no	0
omana	MAK	15	town	arabia_region	5	9.000	30.386	no	0
opone	OPO	2	town	punt_region	5	9.000	26.740	no	0
opous	OPU	2	rural_settlement	greece_region	30	-3.000	17.020	no	0
ora	KHB	8	rural_settlement	gandhara_region	23	-3.000	18.276	no	0
oretum	GRM	5	rural_settlement	baetica_region	18	-3.000	13.804	no	0
oreus	ORE	2	town	greece_region	30	-1.000	19.854	no	0
orko	ANP	3	rural_settlement	hyperborea_region	0	-3.000	16.271	no	0
otadini	VTD	6	rural_settlement	caledonia_region	0	-8.000	9.074	no	0
ouasada	ORO	3	town	galatia_region	12	-3.000	18.731	no	0
paesicia	PSC	3	rural_settlement	gallaecia_region	10	-3.000	12.373	no	0
pali	KRA	15	town	vindhyaprstha_region	25	4.000	26.098	no	0
pallontion	ORM	2	rural_settlement	gallaecia_region	10	-3.000	11.870	no	0
palma	BLD	5	rural_settlement	contestania_region	15	-3.000	13.433	no	0
pantikapaion	BPK	19	town	taurica_region	5	1.000	25.072	no	0
parentium	HIS	5	rural_settlement	illyria_region	9	-3.000	14.657	no	0
passaron	EPI	6	town	greece_region	30	9.000	28.813	no	0
pataliputra	MRY	314	city	pracya_region	30	18.000	45.576	yes	10
pecina	OXU	5	rural_settlement	illyria_region	9	-3.000	16.301	no	0
pednelissos	PDL	1	town	cilicia_region	15	-4.000	16.999	no	0
pella_0	MAC	50	city	macedonia_region	25	14.000	37.959	yes	7
pellene	PLE	1	rural_settlement	greece_region	30	-3.000	16.310	no	0
penugonda	TA0	6	rural_settlement	karnata_region	23	-3.000	19.595	no	0
pergamon	MIT	36	town	asia_region	25	0.000	25.380	yes	3
persepolis	PES	37	city	persis_region	16	6.000	30.637	yes	5
petra	NBT	34	town	palestine_region	20	5.000	28.629	yes	5
phasis	PHI	3	town	colchis_region	12	-1.000	20.462	no	0
picenum	PIE	3	town	central_italy_region	28	1.000	21.928	no	0
pinaka	CRD	7	town	assyria_region	15	-3.000	19.995	no	0
pirhirci	BRY	22	rural_settlement	borysthenia_region	0	-3.000	21.737	no	0
pishan	PSH	2	rural_settlement	himalayan_region	5	-3.000	16.205	no	0
plestia	UMB	8	town	central_italy_region	28	9.000	28.868	no	0
polyrrenia	PYR	1	town	greece_region	30	8.000	25.547	no	0
pons_rugio	LBT	5	rural_settlement	contestania_region	15	-3.000	14.452	no	0
potaissa	CAC	4	rural_settlement	dacia_region	5	-3.000	16.384	no	0
praesidium_0	ONU	5	town	baetica_region	18	3.000	23.796	no	0
praesos	PRE	1	rural_settlement	greece_region	30	-3.000	18.312	no	0
priene	ION	11	town	asia_region	25	1.000	23.951	no	0
prostanna	TYM	2	rural_settlement	cilicia_region	15	-3.000	12.485	no	0
puranadisthana	KLS	16	rural_settlement	gandhara_region	23	-3.000	20.548	no	0
pushkalavati	GHA	17	town	gandhara_region	23	5.000	27.694	no	0
qadarif	CRT	5	rural_settlement	nubia_region	5	-3.000	15.737	no	0
qandala	QAN	1	town	punt_region	5	1.000	20.551	no	0
qohaito	QOH	2	town	punt_region	5	-2.000	19.016	no	0
qoyqirilgan	KRZ	25	town	sakia_region	0	-3.000	21.976	no	0
ratae	COI	14	rural_settlement	britain_region	10	-3.000	14.012	no	0
rauracia	RAU	5	rural_settlement	germania_superior_region	7	-3.000	13.083	no	0
ravenna	LGN	9	town	central_italy_region	28	-1.000	22.564	no	0
rayachoti	RAY	1	rural_settlement	dravida_region	25	-3.000	18.016	no	0
rhegium	RHG	1	town	magna_graecia_region	28	-1.000	19.037	no	0
rhithymna	ELT	1	rural_settlement	greece_region	30	-3.000	16.829	no	0
rhodos	RHO	7	city	asia_region	25	2.000	24.915	no	0
rhugium	RGG	3	rural_settlement	venedia_region	0	-8.000	5.833	no	0
ricomagus	AVN	13	rural_settlement	central_gaul_region	10	-3.000	20.592	no	0
risetia	AMI	2	rural_settlement	moesia_s_region	5	-3.000	14.559	no	0
robogdia_orientalis	ROB	3	rural_settlement	caledonia_region	0	-8.000	7.955	no	0
rohtak	YDD	24	city	madhyadesa_region	30	8.000	31.327	no	0
roma	ROM	19	city	central_italy_region	28	8.000	30.775	no	0
rotomagus	VCL	6	rural_settlement	belgica_region	10	-3.000	13.492	no	0
rusaddir	RSS	1	town	mauretainia_region	5	-3.000	17.209	no	0
ruscino	SRB	2	rural_settlement	transalpine_gaul_region	13	-3.000	14.800	no	0
sabata	HDM	17	town	arabia_felix_region	5	6.000	28.480	no	0
sabiranum	SND	5	rural_settlement	taurica_region	5	-3.000	14.024	no	0
sagalassos	SSG	2	town	cilicia_region	15	-4.000	17.301	no	0
saguntum	SGS	4	town	contestania_region	15	1.000	22.500	no	0
saioi	SA3	47	rural_settlement	central_asian_steppes_region	0	-3.000	17.093	yes	1
sakala	PRA	13	town	gandhara_region	23	6.000	27.826	no	0
salassia	SLS	7	rural_settlement	rhaetia_region	7	-3.000	17.701	no	0
salduba	LSN	5	rural_settlement	tarraconensis_region	15	-3.000	13.223	no	0
salia_chasuaria	AMV	2	rural_settlement	germania_region	0	-8.000	6.891	no	0
salthua	DRI	5	rural_settlement	illyria_region	9	-3.000	11.400	no	0
samad	AX4	13	rural_settlement	arabia_region	5	-3.000	19.749	no	0
samarobriva	ABM	2	rural_settlement	belgica_region	10	-3.000	12.180	no	0
samos	SAS	4	town	asia_region	25	1.000	22.137	no	0
samosata	COM	13	town	assyria_region	15	-1.000	23.049	no	0
samum	ANS	6	rural_settlement	dacia_region	5	-3.000	17.382	no	0
sardis	SRD	11	city	asia_region	25	-1.000	24.178	no	0
scaptopara	MAD	3	rural_settlement	macedonia_region	25	-3.000	15.447	no	0
sciria_rugia	LVA	4	rural_settlement	venedia_region	0	-8.000	6.083	no	0
scupi	DRD	15	rural_settlement	macedonia_region	25	-3.000	15.180	no	0
sebatum	SVC	1	rural_settlement	rhaetia_region	7	-3.000	11.822	no	0
sedetania	SDT	3	rural_settlement	tarraconensis_region	15	-3.000	13.742	no	0
segeda	BLL	6	town	tarraconensis_region	15	-3.000	20.284	no	0
segestica	SEG	7	rural_settlement	illyria_region	9	-3.000	12.968	no	0
segontia	TTH	5	rural_settlement	tarraconensis_region	15	-3.000	15.557	no	0
segovia	DNQ	3	rural_settlement	gallaecia_region	10	-3.000	12.513	no	0
seguslavorum	SGL	5	rural_settlement	transalpine_gaul_region	13	-3.000	13.253	no	0
selanpura	NBP	18	town	pracya_region	30	3.000	25.962	no	0
seleucia_magna	SEL	273	city	mesopotamia_region	25	13.000	38.414	yes	7
selge	SLG	3	town	cilicia_region	15	-6.000	17.245	no	0
selinus	SIN	1	town	magna_graecia_region	28	4.000	22.515	no	0
sellium	TLS	3	rural_settlement	lusitania_region	10	-3.000	12.373	no	0
sembel	ONA	3	town	punt_region	5	2.000	22.591	no	0
sena_gallica	SNI	4	rural_settlement	central_italy_region	28	-3.000	14.268	no	0
senia	DIT	6	rural_settlement	illyria_region	9	-3.000	14.778	no	0
sentice	LCC	3	rural_settlement	lusitania_region	10	-3.000	13.742	no	0
serdica	SDI	3	rural_settlement	moesia_region	15	-3.000	18.686	no	0
sesamos	SMS	2	town	bithynia_region	20	2.000	21.962	no	0
seurgium	HEV	5	rural_settlement	venedia_region	0	-3.000	10.808	no	0
seussonia	SSS	4	rural_settlement	belgica_region	10	-3.000	13.415	no	0
seuthopolis	ODR	14	town	thrace_region	20	1.000	24.480	no	0
shalcaw	SHW	1	rural_settlement	punt_region	5	-3.000	14.376	no	0
shavgar	MGT	36	rural_settlement	sogdiana_region	0	-3.000	18.080	yes	1
shekhem	SMA	8	town	palestine_region	20	4.000	25.420	no	0
sidon	SID	2	town	syria_region	25	6.000	25.070	no	0
siga	MSS	47	town	mauretainia_region	5	-5.000	21.720	yes	2
sijilmasa	CII	9	rural_settlement	atlas_region	0	-3.000	15.548	no	0
sikyon	SIC	1	town	greece_region	30	2.000	21.106	no	0
singidunum	SCD	14	rural_settlement	moesia_s_region	5	-3.000	15.917	no	0
sinkat	ADA	10	rural_settlement	lower_nubia_region	0	-3.000	14.213	no	0
sinope	SNP	5	town	bithynia_region	20	3.000	24.041	no	0
sodari	SOI	1	rural_settlement	nubia_region	5	-3.000	9.235	no	0
sofyan	SFY	1	rural_settlement	lower_nubia_region	0	-3.000	9.165	no	0
solicia_carpetania	SLC	3	rural_settlement	contestania_region	15	-3.000	12.513	no	0
spaneta	AMA	8	rural_settlement	pannonia_region	5	-8.000	11.276	no	0
sparga	SA2	17	rural_settlement	central_asian_steppes_region	0	-3.000	16.717	no	0
sparta	SPA	5	city	greece_region	30	8.000	29.047	no	0
splonum	DNT	2	rural_settlement	illyria_region	9	-3.000	10.047	no	0
sri_ksetra	FGD	2	rural_settlement	burma_region	5	-3.000	15.868	no	0
stobi	PAA	4	town	macedonia_region	25	-1.000	20.962	no	0
stratos	AKR	3	town	greece_region	30	3.000	23.196	no	0
sublavione	RAE	10	rural_settlement	rhaetia_region	7	-3.000	18.768	no	0
sudinoia	SUD	2	rural_settlement	venedia_region	0	-8.000	8.496	no	0
sulis	VTN	3	rural_settlement	armorica_region	10	-3.000	12.513	no	0
sulki_tyrsen	RUB	3	rural_settlement	central_italy_region	28	-3.000	17.976	no	0
syene	DOD	13	town	lower_nubia_region	0	6.000	28.154	no	0
syracusae	SYR	14	town	magna_graecia_region	28	4.000	26.305	no	0
tacape	EMP	8	town	africa_region	20	3.000	24.806	no	0
taexali	TXL	3	rural_settlement	caledonia_region	0	-8.000	7.955	no	0
tagadur	ADG	4	rural_settlement	karnata_region	23	-3.000	19.164	no	0
tagaung	TGU	2	rural_settlement	burma_region	5	-3.000	14.314	no	0
taliata	CEL	7	rural_settlement	moesia_region	15	-3.000	13.992	no	0
tamdoult	PHU	5	rural_settlement	atlas_region	0	-3.000	13.454	no	0
tamna	QTB	21	town	arabia_felix_region	5	4.000	27.046	no	0
tarentum	TAR	3	city	magna_graecia_region	28	8.000	28.060	no	0
tarraco	CSS	6	rural_settlement	tarraconensis_region	15	-3.000	16.668	no	0
tarrha	TRA	1	rural_settlement	greece_region	30	-3.000	18.375	no	0
tarvenna	MRN	8	rural_settlement	belgica_region	10	-3.000	16.376	no	0
taunensium	TBC	9	rural_settlement	germania_region	0	-3.000	13.347	no	0
taungthaman	TTM	1	rural_settlement	burma_region	5	-3.000	12.796	no	0
taurasia	TAU	12	town	cisalpine_gaul_region	15	-2.000	22.071	no	0
tegea	TEG	1	rural_settlement	greece_region	30	-3.000	17.044	no	0
telonnum	CCS	3	rural_settlement	aquitaine_region	10	-3.000	12.373	no	0
termessos	TRM	3	town	cilicia_region	15	-8.000	15.915	no	0
teurnia	AID	1	rural_settlement	rhaetia_region	7	-3.000	11.822	no	0
teutonia_centralis	TIT	5	rural_settlement	scandinavia_region	0	-3.000	12.833	no	0
thala_musulamia	MSL	17	rural_settlement	africa_region	20	-3.000	13.049	no	0
thamusida	THA	3	town	mauretainia_region	5	-3.000	18.533	no	0
thanlyin	SHN	4	rural_settlement	burma_region	5	-3.000	14.583	no	0
thapaua	QDA	6	rural_settlement	arabia_region	5	-3.000	14.014	no	0
thapsus	TPS	1	city	africa_region	20	4.000	24.840	no	0
thebes	THE	1	town	greece_region	30	-3.000	18.117	no	0
thermai	THR	2	town	magna_graecia_region	28	-1.000	19.789	no	0
thermon	AET	3	town	greece_region	30	2.000	22.447	no	0
thespiai	BOE	10	town	greece_region	30	5.000	26.433	no	0
theustia	FIR	3	rural_settlement	scandinavia_region	0	-3.000	10.098	no	0
thiges	GYZ	12	town	africa_region	20	-4.000	19.966	no	0
thorp	LUG	3	rural_settlement	central_italy_region	28	-3.000	16.940	no	0
thurii	THU	2	town	magna_graecia_region	28	9.000	27.652	no	0
tibula	LON	2	rural_settlement	central_italy_region	28	-3.000	14.792	no	0
tieion	TIE	1	rural_settlement	bithynia_region	20	-3.000	17.179	no	0
timacum	TLT	9	rural_settlement	moesia_region	15	-3.000	15.796	no	0
timoudi	NGT	4	rural_settlement	atlas_region	0	-3.000	13.285	no	0
tissa	SCU	1	rural_settlement	magna_graecia_region	28	-3.000	12.382	no	0
titulcia	TRQ	2	rural_settlement	contestania_region	15	-3.000	12.010	no	0
tlos	LYC	11	town	cilicia_region	15	-2.000	21.804	no	0
toksa	WTO	2	rural_settlement	himalayan_region	5	-3.000	14.981	no	0
toletum	DOA	4	rural_settlement	contestania_region	15	-3.000	16.421	no	0
tolosa	TCT	6	rural_settlement	transalpine_gaul_region	13	-3.000	18.394	no	0
tomisa	SPH	18	rural_settlement	assyria_region	15	-3.000	24.741	no	0
tongorigum	TPL	5	rural_settlement	lusitania_region	10	-3.000	13.734	no	0
torikos	ZGY	2	rural_settlement	colchis_region	12	-3.000	10.558	no	0
trapezous	TRZ	3	town	cappadocia_pontica_region	10	3.000	23.063	no	0
tripolis	ATI	2	town	syria_region	25	6.000	25.278	no	0
troizen	TRN	1	rural_settlement	greece_region	30	-3.000	14.319	no	0
tropea	CRS	6	rural_settlement	germania_region	0	-8.000	10.276	no	0
tubantia	CHV	2	rural_settlement	germania_region	0	-3.000	9.627	no	0
tullum	LCI	6	rural_settlement	germania_superior_region	7	-3.000	16.504	no	0
tylos	TYO	4	city	arabia_region	5	6.000	27.205	no	0
tyndaris	TYN	2	town	magna_graecia_region	28	-1.000	20.577	no	0
tyras_0	TYS	1	town	scythia_region	0	-1.000	19.420	no	0
tyros	AMN	7	rural_settlement	palestine_region	20	-3.000	16.070	no	0
tyrus	TYE	3	city	syria_region	25	9.000	28.433	no	0
uarinia	SMN	12	rural_settlement	germania_region	0	-3.000	13.272	no	0
uccrynyika	AGA	18	rural_settlement	vistulia_region	0	-3.000	17.716	no	0
unsingia	CHC	8	rural_settlement	germania_region	0	-8.000	10.856	no	0
uppakra	DAN	5	rural_settlement	scandinavia_region	0	-3.000	15.137	no	0
urayur	CHL	12	town	dravida_region	25	10.000	30.357	no	0
urgana	BST	5	rural_settlement	vistulia_region	0	-8.000	9.796	no	0
usdia_occidentalis	USD	3	rural_settlement	caledonia_region	0	-8.000	9.842	no	0
utica	UTC	2	city	africa_region	20	6.000	26.543	no	0
uttaris	TBU	2	rural_settlement	gallaecia_region	10	-3.000	16.556	no	0
valuraka	PIT	16	town	aparanta_region	27	3.000	25.769	no	0
vanavasi	ALU	6	town	karnata_region	23	1.000	23.118	no	0
vanci	CHR	14	town	karnata_region	23	9.000	30.130	no	0
varianis	CAA	7	rural_settlement	pannonia_region	5	-3.000	15.020	no	0
varina_marinia	ABO	2	rural_settlement	gallaecia_region	10	-3.000	11.870	no	0
varna	BDL	8	rural_settlement	lusitania_region	10	-3.000	18.485	no	0
vasio	VOC	10	rural_settlement	transalpine_gaul_region	13	-3.000	19.048	no	0
veleia	CRI	4	rural_settlement	tarraconensis_region	15	-3.000	12.764	no	0
velia	ELE	1	town	magna_graecia_region	28	4.000	22.972	no	0
veltaea	VEL	6	rural_settlement	venedia_region	0	-8.000	8.374	no	0
venicnia_borealis	VEN	5	rural_settlement	caledonia_region	0	-8.000	8.804	no	0
venta_icenorum	ICE	8	town	britain_region	10	-3.000	20.310	no	0
verona	CNM	7	town	cisalpine_gaul_region	15	-2.000	21.155	no	0
verunia	SLV	4	rural_settlement	transalpine_gaul_region	13	-3.000	14.133	no	0
vesontio	SQI	9	rural_settlement	central_gaul_region	10	-3.000	15.849	no	0
vesunna	PTC	7	rural_settlement	aquitaine_region	10	-3.000	17.331	no	0
vettonia_inferioris	CRE	6	rural_settlement	lusitania_region	10	-3.000	13.352	no	0
vicus_vagornicensis	BAN	3	rural_settlement	lusitania_region	10	-3.000	11.769	no	0
vienna	ALL	9	rural_settlement	transalpine_gaul_region	13	-3.000	17.545	no	0
vindeleia	AUG	5	rural_settlement	tarraconensis_region	15	-3.000	13.223	no	0
vindinum	CMI	5	rural_settlement	armorica_region	10	-3.000	13.253	no	0
vindocladia	DUR	8	rural_settlement	britain_region	10	-3.000	13.792	no	0
vindonissa	TOU	3	rural_settlement	rhaetia_region	7	-3.000	14.123	no	0
viroconium	COV	7	rural_settlement	britain_region	10	-3.000	12.043	no	0
viromanduorum	VMD	5	rural_settlement	belgica_region	10	-3.000	17.414	no	0
virunum	NRC	12	rural_settlement	rhaetia_region	7	-3.000	17.986	no	0
virunum_germanicum	NUI	11	rural_settlement	germania_region	0	-3.000	12.161	no	0
visentium	ETR	32	town	central_italy_region	28	6.000	29.674	yes	5
vistuliana	AUA	10	rural_settlement	venedia_region	0	-3.000	12.251	no	0
vitudurum	TLG	5	rural_settlement	rhaetia_region	7	-3.000	14.447	no	0
volubilis	MAU	28	rural_settlement	mauretainia_region	5	-3.000	16.640	no	0
voluca	AVC	8	town	tarraconensis_region	15	-2.000	21.015	no	0
voluntia_orientalis	DAR	3	rural_settlement	caledonia_region	0	-8.000	9.350	no	0
volyatss	ALZ	9	rural_settlement	scythia_region	0	-3.000	14.437	no	0
vorgium	OSM	8	rural_settlement	armorica_region	10	-3.000	13.932	no	0
waddan	MHY	8	rural_settlement	fezzan_region	0	-3.000	12.249	no	0
wumi	YMI	2	rural_settlement	himalayan_region	5	-3.000	15.837	no	0
xiaowan	XIW	1	rural_settlement	himalayan_region	5	-8.000	4.759	no	0
yatsha	ZNT	17	rural_settlement	sakia_region	0	-3.000	20.141	no	0
yeha	YEH	4	town	punt_region	5	-1.000	21.108	no	0
yrgyz	SA1	20	rural_settlement	central_asian_steppes_region	0	-3.000	15.135	no	0
yutian	KHT	2	town	himalayan_region	5	5.000	24.375	no	0
ywa_htin_kon	YHK	2	rural_settlement	burma_region	5	-3.000	13.704	no	0
zabender	LGA	31	rural_settlement	albania_region	0	-3.000	16.683	no	0
zadrakarta	PAR	35	town	parthia_region	18	3.000	27.401	yes	5
zankor	ZKO	3	rural_settlement	nubia_region	5	-3.000	13.604	no	0
zela	ZEL	2	town	cappadocia_pontica_region	10	-5.000	17.229	no	0
zemour	NEC	9	rural_settlement	mauretainia_region	5	-3.000	12.749	no	0
zhongzhong	TSA	18	rural_settlement	tibet_region	0	-3.000	18.580	no	0
zoelarum	ZLA	4	rural_settlement	lusitania_region	10	-3.000	12.904	no	0
