location	development_rank	ir_province_rank	total_pop	weighted_pop	civilization_value	road_degree	building_levels	is_port	raw_score	mapped_target
bushahr	rural_settlement	settlement	8.000	11.200	28.000	0	1.000	1	16.715	-3.000
buto	city	city	33.000	48.400	32.000	0	0.000	0	24.020	8.000
butonia	rural_settlement	settlement	4.000	3.200	0.000	0	0.000	0	7.462	-8.000
byblos	town	city	9.000	19.400	26.000	0	4.000	1	22.398	6.000
byerazino	rural_settlement	settlement	1.000	0.800	0.000	0	0.000	0	3.056	-8.000
bylazora	rural_settlement	settlement	8.000	8.600	18.000	0	0.000	0	13.021	-3.000
byllis	rural_settlement	settlement	7.000	9.200	18.000	0	0.000	0	13.336	-3.000
byrshchre	rural_settlement	settlement	4.000	4.400	3.000	0	0.000	0	8.979	-3.000
byzantion	town	city	7.000	14.200	29.000	0	1.000	1	19.428	2.000
cabadene	rural_settlement	settlement	7.000	11.200	27.000	0	0.000	0	14.897	-3.000
cabana	rural_settlement	settlement	8.000	9.200	19.000	0	0.000	0	13.406	-3.000
cabillonum	rural_settlement	settlement	7.000	7.000	11.000	0	0.000	0	11.583	-3.000
cabulia	rural_settlement	settlement	3.000	3.600	29.000	0	0.000	0	9.965	-3.000
cadota	town	city	11.000	17.400	19.000	0	0.000	0	17.974	-1.000
caelius_mons	rural_settlement	settlement	5.000	5.000	11.000	0	0.000	0	10.087	-3.000
caellonico	rural_settlement	settlement	5.000	5.000	9.000	0	0.000	0	9.947	-3.000
caereni	rural_settlement	settlement	3.000	2.400	10.000	0	0.000	0	7.064	-8.000
caesarobriga	rural_settlement	settlement	9.000	9.400	11.000	0	0.000	0	12.947	-3.000
caesarodunum	rural_settlement	settlement	10.000	14.800	11.000	0	0.000	0	15.122	-3.000
caesaromagus	rural_settlement	settlement	5.000	5.200	9.000	0	0.000	0	10.118	-3.000
caesia	rural_settlement	settlement	3.000	2.600	0.000	0	0.000	0	6.661	-8.000
caetobriga	rural_settlement	settlement	6.000	5.800	11.000	0	0.000	0	10.738	-3.000
caiellum	rural_settlement	settlement	7.000	6.600	9.000	0	0.000	0	11.176	-3.000
caiwa	rural_settlement	settlement	4.000	5.800	10.000	0	0.000	0	10.668	-3.000
cakravala	rural_settlement	settlement	5.000	6.000	26.000	0	0.000	0	11.939	-3.000
cala	rural_settlement	settlement	5.000	5.200	13.000	0	0.000	0	10.398	-3.000
calacte	rural_settlement	settlement	6.000	8.600	20.000	0	0.000	0	13.161	-3.000
calaegia	rural_settlement	settlement	4.000	4.200	0.000	0	0.000	0	8.573	-3.000
calagorris	rural_settlement	settlement	4.000	3.200	11.000	0	0.000	0	8.232	-3.000
calagum	rural_settlement	settlement	5.000	5.000	11.000	0	0.000	0	10.087	-3.000
calagurris_iulia	rural_settlement	settlement	8.000	9.000	9.000	0	0.000	0	12.603	-3.000
calama	rural_settlement	settlement	7.000	10.200	19.000	0	0.000	0	13.893	-3.000
calanta	rural_settlement	settlement	6.000	5.800	11.000	0	0.000	0	10.738	-3.000
calata	rural_settlement	settlement	7.000	9.600	20.000	0	0.000	0	13.676	-3.000
calcaria	rural_settlement	settlement	3.000	3.400	8.000	0	0.000	0	8.264	-3.000
calecula	rural_settlement	settlement	3.000	3.400	8.000	0	0.000	0	8.264	-3.000
caledonii	rural_settlement	settlement	5.000	4.000	6.000	0	0.000	0	8.789	-3.000
caletia_minor	rural_settlement	settlement	5.000	5.000	11.000	0	0.000	0	10.087	-3.000
calisia	rural_settlement	settlement	2.000	1.600	3.000	0	0.000	0	5.179	-8.000
callatis	town	city	20.000	33.400	31.000	0	1.000	1	23.816	8.000
calleva	rural_settlement	settlement	6.000	7.600	11.000	0	0.000	0	11.959	-3.000
calliope	rural_settlement	settlement	4.000	6.800	28.000	0	0.000	0	12.641	-3.000
callipolis	rural_settlement	settlement	8.000	10.200	12.000	0	1.000	1	15.150	-3.000
caluconia	rural_settlement	settlement	3.000	2.600	0.000	0	0.000	0	6.661	-8.000
caluconiana	rural_settlement	settlement	2.000	3.200	5.000	0	0.000	0	7.812	-3.000
calunium	rural_settlement	settlement	4.000	4.200	8.000	0	0.000	0	9.133	-3.000
cama	rural_settlement	settlement	6.000	8.800	10.000	0	0.000	0	12.568	-3.000
camala	rural_settlement	settlement	5.000	5.000	11.000	0	0.000	0	10.087	-3.000
camaracum	rural_settlement	settlement	5.000	5.000	11.000	0	0.000	0	10.087	-3.000
camarica	rural_settlement	settlement	5.000	5.000	11.000	0	0.000	0	10.087	-3.000
camarina	rural_settlement	settlement	4.000	6.000	28.000	0	0.000	0	12.079	-3.000
cambodunum	rural_settlement	settlement	9.000	12.000	9.000	0	0.000	0	13.968	-3.000
cambonum	rural_settlement	settlement	5.000	5.200	13.000	0	0.000	0	10.398	-3.000
cambysene	rural_settlement	settlement	3.000	2.400	18.000	0	0.000	0	7.624	-8.000
caminacum	rural_settlement	settlement	11.000	13.200	10.000	0	0.000	0	14.497	-3.000
cammei	rural_settlement	settlement	3.000	4.200	5.000	0	0.000	0	8.923	-3.000
campa	town	city	23.000	42.000	29.000	2	0.000	0	24.297	9.000
campaniacum	rural_settlement	settlement	5.000	5.000	13.000	0	0.000	0	10.227	-3.000
campia	rural_settlement	settlement	3.000	2.400	5.000	0	0.000	0	6.714	-8.000
campona	rural_settlement	settlement	5.000	7.000	9.000	0	0.000	0	11.443	-3.000
camulia	rural_settlement	settlement	1.000	0.800	0.000	0	0.000	0	3.056	-8.000
camulodunum	town	city	10.000	10.800	14.000	0	0.000	0	15.314	-3.000
canarbis	rural_settlement	settlement	2.000	2.600	7.000	0	0.000	0	7.151	-8.000
canasida	rural_settlement	settlement	3.000	2.600	18.000	0	0.000	0	7.921	-3.000
canate	rural_settlement	settlement	4.000	5.200	28.000	0	0.000	0	11.448	-3.000
canatha_0	rural_settlement	settlement	6.000	10.200	26.000	0	0.000	0	14.383	-3.000
canatha_1	rural_settlement	settlement	4.000	5.200	28.000	0	0.000	0	11.448	-3.000
canaviacum	rural_settlement	settlement	5.000	5.200	9.000	0	0.000	0	10.118	-3.000
candanaputraka	rural_settlement	settlement	6.000	8.200	26.000	0	0.000	0	13.360	-3.000
candhoba	rural_settlement	settlement	8.000	12.000	24.000	0	0.000	0	15.018	-3.000
candravati	rural_settlement	settlement	7.000	7.200	24.000	0	0.000	0	12.621	-3.000
candulum	rural_settlement	settlement	6.000	7.600	0.000	0	0.000	0	11.189	-3.000
cannabis	rural_settlement	settlement	1.000	0.800	6.000	0	0.000	0	3.476	-8.000
cannae	city	city	10.000	14.600	33.000	0	0.000	0	18.096	-1.000
canniaco	rural_settlement	settlement	2.000	1.600	9.000	0	0.000	0	5.599	-8.000
canovium	rural_settlement	settlement	3.000	3.400	10.000	0	0.000	0	8.404	-3.000
cantiabis	rural_settlement	settlement	4.000	5.800	0.000	0	0.000	0	9.968	-3.000
capera	rural_settlement	settlement	4.000	4.200	9.000	0	0.000	0	9.203	-3.000
capi	rural_settlement	settlement	2.000	1.600	5.000	0	0.000	0	5.319	-8.000
capidava	rural_settlement	settlement	4.000	4.200	24.000	0	0.000	0	10.253	-3.000
capitium	rural_settlement	settlement	10.000	13.000	9.000	0	0.000	0	14.353	-3.000
capsa	rural_settlement	settlement	7.000	5.600	8.000	0	0.000	0	10.373	-3.000
capsa_iustiniana	rural_settlement	settlement	10.000	12.000	15.000	0	0.000	0	14.388	-3.000
capua	city	city	14.000	26.600	37.000	2	0.000	0	22.551	6.000
caput	rural_settlement	settlement	5.000	5.000	11.000	0	0.000	0	10.087	-3.000
caput_bubali	rural_settlement	settlement	4.000	4.800	8.000	0	0.000	0	9.701	-3.000
caput_stenarum_0	rural_settlement	settlement	8.000	10.400	12.000	0	0.000	0	13.495	-3.000
caput_stenarum_1	rural_settlement	settlement	4.000	4.800	8.000	0	0.000	0	9.701	-3.000
caputtasaccora	rural_settlement	settlement	4.000	5.800	8.000	0	0.000	0	10.528	-3.000
cara	rural_settlement	settlement	4.000	6.200	23.000	0	0.000	0	11.875	-3.000
caracca	rural_settlement	settlement	4.000	4.200	11.000	0	0.000	0	9.343	-3.000
caracotinum	rural_settlement	settlement	5.000	5.200	9.000	0	1.000	1	11.865	-3.000
carae	rural_settlement	settlement	2.000	2.600	11.000	0	0.000	0	7.431	-8.000
caranicum	rural_settlement	settlement	5.000	5.000	13.000	0	0.000	0	10.227	-3.000
carantomagus	rural_settlement	settlement	5.000	5.200	9.000	0	0.000	0	10.118	-3.000
caranusca	rural_settlement	settlement	8.000	8.000	9.000	0	0.000	0	12.056	-3.000
carasa	rural_settlement	settlement	5.000	5.000	11.000	0	0.000	0	10.087	-3.000
carbia	rural_settlement	settlement	4.000	6.000	24.000	0	0.000	0	11.799	-3.000
carbonia	rural_settlement	settlement	1.000	0.800	0.000	0	0.000	0	3.056	-8.000
carbonia_occidentalis	rural_settlement	settlement	1.000	0.800	0.000	0	0.000	0	3.056	-8.000
carcasso	rural_settlement	settlement	5.000	5.000	11.000	0	0.000	0	10.087	-3.000
carcuvium	rural_settlement	settlement	5.000	5.000	10.000	0	0.000	0	10.017	-3.000
cardava	rural_settlement	settlement	7.000	8.000	7.000	0	0.000	0	11.916	-3.000
cardono	rural_settlement	settlement	4.000	4.200	11.000	0	0.000	0	9.343	-3.000
careotaia_australis	rural_settlement	settlement	1.000	0.800	0.000	0	0.000	0	3.056	-8.000
cariala	rural_settlement	settlement	2.000	1.800	0.000	0	0.000	0	5.354	-8.000
carinia	rural_settlement	settlement	3.000	3.400	5.000	0	0.000	0	8.054	-3.000
cariniana	rural_settlement	settlement	1.000	0.800	5.000	0	0.000	0	3.406	-8.000
caripeta	rural_settlement	settlement	6.000	7.200	7.000	0	0.000	0	11.431	-3.000
carissa	rural_settlement	settlement	7.000	10.800	19.000	0	0.000	0	14.164	-3.000
caritra	town	city	20.000	30.800	25.000	0	0.000	0	21.239	5.000
carm	rural_settlement	settlement	2.000	1.600	6.000	0	0.000	0	5.389	-8.000
carmo	town	city	11.000	19.200	25.000	0	0.000	0	18.880	1.000
carnasa	rural_settlement	settlement	1.000	0.800	28.000	0	0.000	0	5.016	-8.000
carne	rural_settlement	settlement	3.000	5.200	19.000	0	0.000	0	10.818	-3.000
carnium	rural_settlement	settlement	18.000	24.200	7.000	0	0.000	0	17.270	-3.000
carnonacae	rural_settlement	settlement	2.000	1.600	10.000	0	0.000	0	5.669	-8.000
carnuntum	rural_settlement	settlement	4.000	4.200	9.000	0	0.000	0	9.203	-3.000
carnutia_occidentalis	rural_settlement	settlement	3.000	3.400	9.000	0	0.000	0	8.334	-3.000
carnutia_orientalis	rural_settlement	settlement	5.000	5.200	11.000	0	0.000	0	10.258	-3.000
carona	rural_settlement	settlement	7.000	9.400	8.000	0	0.000	0	12.737	-3.000
carpentorate	rural_settlement	settlement	5.000	5.000	13.000	0	0.000	0	10.227	-3.000
carpetana_luga	rural_settlement	settlement	5.000	5.000	9.000	0	0.000	0	9.947	-3.000
carpis	rural_settlement	settlement	12.000	22.000	26.000	0	0.000	0	18.125	-3.000
carredunum	rural_settlement	settlement	2.000	1.600	0.000	0	0.000	0	4.969	-8.000
carrhae	rural_settlement	settlement	9.000	15.600	26.000	0	0.000	0	16.429	-3.000
carsidava	rural_settlement	settlement	2.000	1.600	0.000	0	0.000	0	4.969	-8.000
carsioli	rural_settlement	settlement	5.000	8.400	24.000	0	0.000	0	13.332	-3.000
carsium	rural_settlement	settlement	4.000	3.200	22.000	0	0.000	0	9.002	-3.000
carta	rural_settlement	settlement	5.000	5.000	11.000	0	0.000	0	10.087	-3.000
cartana	rural_settlement	settlement	7.000	8.000	31.000	0	0.000	0	13.596	-3.000
carteia	town	city	10.000	11.000	29.000	0	1.000	1	18.199	0.000
cartennae	town	city	3.000	3.800	29.000	0	1.000	1	13.434	-7.000
carthago	city	city	30.000	53.600	43.000	0	9.000	1	29.310	14.000
cartili	rural_settlement	settlement	10.000	14.600	9.000	0	0.000	0	14.916	-3.000
cartima	rural_settlement	settlement	7.000	8.600	17.000	0	0.000	0	12.951	-3.000
carura	rural_settlement	settlement	4.000	3.800	17.000	0	0.000	0	9.347	-3.000
carvium	rural_settlement	settlement	5.000	5.400	0.000	0	0.000	0	9.653	-3.000
casae_nigrae	rural_settlement	settlement	4.000	4.800	3.000	0	0.000	0	9.351	-3.000
casaea	rural_settlement	settlement	3.000	5.000	21.000	0	0.000	0	10.787	-3.000
cascantum	rural_settlement	settlement	5.000	5.000	9.000	0	0.000	0	9.947	-3.000
casinomagus	rural_settlement	settlement	4.000	4.200	11.000	0	0.000	0	9.343	-3.000
caspiana	rural_settlement	settlement	7.000	8.400	11.000	0	0.000	0	12.422	-3.000
cassiliacum	rural_settlement	settlement	4.000	4.200	9.000	0	0.000	0	9.203	-3.000
cassinomagum	rural_settlement	settlement	6.000	7.600	11.000	0	0.000	0	11.959	-3.000
castellum	rural_settlement	settlement	6.000	6.000	9.000	0	0.000	0	10.749	-3.000
castellum_meidunium	rural_settlement	settlement	4.000	4.200	9.000	0	0.000	0	9.203	-3.000
castra	rural_settlement	settlement	6.000	6.000	10.000	0	0.000	0	10.819	-3.000
castra_arcidava	rural_settlement	settlement	5.000	6.000	8.000	0	0.000	0	10.679	-3.000
castra_bistrita	rural_settlement	settlement	5.000	5.400	8.000	0	0.000	0	10.213	-3.000
castra_cecilia	rural_settlement	settlement	3.000	3.400	9.000	0	0.000	0	8.334	-3.000
castra_germanorum	rural_settlement	settlement	3.000	3.400	11.000	0	0.000	0	8.474	-3.000
castra_martis	rural_settlement	settlement	9.000	13.400	10.000	0	0.000	0	14.570	-3.000
castra_neptitana	town	city	10.000	13.000	10.000	0	0.000	0	15.923	-3.000
castra_nova	rural_settlement	settlement	2.000	2.800	11.000	0	0.000	0	7.712	-3.000
castra_puerorum	rural_settlement	settlement	7.000	9.400	11.000	0	0.000	0	12.947	-3.000
castra_regina	rural_settlement	settlement	5.000	6.000	11.000	0	0.000	0	10.889	-3.000
castra_vetera	rural_settlement	settlement	8.000	11.000	11.000	0	1.000	1	15.439	-3.000
castrana	rural_settlement	settlement	3.000	3.600	0.000	0	0.000	0	7.935	-3.000
castris_novis	rural_settlement	settlement	7.000	11.800	8.000	0	0.000	0	13.817	-3.000
castrum_divionense	rural_settlement	settlement	5.000	5.000	11.000	0	0.000	0	10.087	-3.000
castrum_vabrense	rural_settlement	settlement	5.000	5.000	9.000	0	0.000	0	9.947	-3.000
castulo	town	city	12.000	22.400	20.000	0	0.000	0	19.294	2.000
casurgis	rural_settlement	settlement	4.000	4.400	0.000	0	0.000	0	8.769	-3.000
catabathmus_maior	city	city	6.000	8.800	33.000	0	0.000	0	15.678	-4.000
catalacus	rural_settlement	settlement	5.000	5.200	11.000	0	0.000	0	10.258	-3.000
catana	city	city	6.000	9.400	33.000	0	1.000	1	17.735	-2.000
cataphri	rural_settlement	settlement	2.000	2.800	22.000	0	0.000	0	8.482	-3.000
cataractonium	rural_settlement	settlement	4.000	4.200	8.000	0	0.000	0	9.133	-3.000
catispi	rural_settlement	settlement	5.000	5.400	18.000	0	0.000	0	10.913	-3.000
catonita	rural_settlement	settlement	5.000	6.000	9.000	0	0.000	0	10.749	-3.000
catorissium	rural_settlement	settlement	4.000	4.400	7.000	0	0.000	0	9.259	-3.000
catualium	rural_settlement	settlement	5.000	6.000	9.000	0	0.000	0	10.749	-3.000
caturicis	rural_settlement	settlement	5.000	5.000	9.000	0	0.000	0	9.947	-3.000
cauca	rural_settlement	settlement	5.000	6.000	11.000	0	0.000	0	10.889	-3.000
caucia	rural_settlement	settlement	4.000	3.200	12.000	0	0.000	0	8.302	-3.000
caucia_occidentalis	rural_settlement	settlement	2.000	1.600	0.000	0	0.000	0	4.969	-8.000
caucia_orientalis	rural_settlement	settlement	2.000	1.600	12.000	0	0.000	0	5.809	-8.000
caudium_castra	rural_settlement	settlement	7.000	11.600	9.000	0	0.000	0	13.805	-3.000
caum	rural_settlement	settlement	5.000	5.000	10.000	0	0.000	0	10.017	-3.000
caumata	rural_settlement	settlement	11.000	13.800	29.000	0	0.000	0	16.042	-3.000
caurium	rural_settlement	settlement	3.000	3.400	11.000	0	0.000	0	8.474	-3.000
causennae	rural_settlement	settlement	5.000	5.000	6.000	0	0.000	0	9.737	-3.000
causilena	rural_settlement	settlement	7.000	11.000	11.000	0	0.000	0	13.692	-3.000
cebennia	rural_settlement	settlement	5.000	5.000	9.000	0	0.000	0	9.947	-3.000
cebrus	rural_settlement	settlement	5.000	6.000	10.000	0	0.000	0	10.819	-3.000
cedonia	rural_settlement	settlement	5.000	5.800	8.000	0	0.000	0	10.528	-3.000
ceerigabo	rural_settlement	settlement	7.000	8.000	13.000	0	0.000	0	12.336	-3.000
ceketek	rural_settlement	settlement	3.000	3.400	5.000	0	0.000	0	8.054	-3.000
celamantia	rural_settlement	settlement	2.000	3.200	0.000	0	0.000	0	7.462	-8.000
celavira	rural_settlement	settlement	1.000	0.800	0.000	0	0.000	0	3.056	-8.000
celegerorum	rural_settlement	settlement	3.000	5.200	8.000	0	0.000	0	10.048	-3.000
celeia	rural_settlement	settlement	5.000	5.400	6.000	0	0.000	0	10.073	-3.000
celeusum	rural_settlement	settlement	5.000	7.600	11.000	0	0.000	0	11.959	-3.000
celsa	rural_settlement	settlement	9.000	10.000	10.000	0	0.000	0	13.169	-3.000
celtianis	rural_settlement	settlement	9.000	12.000	19.000	0	0.000	0	14.668	-3.000
celtica_superioris	rural_settlement	settlement	5.000	5.000	11.000	0	0.000	0	10.087	-3.000
cenabum	town	city	9.000	8.400	18.000	0	0.000	0	14.412	-5.000
cenavicum	rural_settlement	settlement	4.000	5.600	11.000	0	0.000	0	10.583	-3.000
centenarium	rural_settlement	settlement	2.000	1.600	10.000	0	0.000	0	5.669	-8.000
centum_cellas	rural_settlement	settlement	6.000	6.800	9.000	0	0.000	0	11.311	-3.000
centum_putea	rural_settlement	settlement	5.000	5.800	0.000	0	0.000	0	9.968	-3.000
centuripae	rural_settlement	settlement	14.000	20.000	28.000	0	0.000	0	17.792	-3.000
cephaloedium	rural_settlement	settlement	6.000	8.600	20.000	0	0.000	0	13.161	-3.000
cercina	rural_settlement	settlement	5.000	10.600	26.000	0	0.000	0	14.565	-3.000
cerebelliaca	rural_settlement	settlement	5.000	5.000	11.000	0	0.000	0	10.087	-3.000
cerisiacum	rural_settlement	settlement	5.000	5.200	13.000	0	0.000	0	10.398	-3.000
cerva	rural_settlement	settlement	5.000	6.200	3.000	0	0.000	0	10.475	-3.000
cervidunum	rural_settlement	settlement	5.000	5.200	11.000	0	0.000	0	10.258	-3.000
chabala	rural_settlement	settlement	5.000	6.200	1.000	0	0.000	0	10.335	-3.000
chaberis	rural_settlement	settlement	19.000	25.000	21.000	0	1.000	1	20.160	-3.000
chach	rural_settlement	settlement	5.000	6.200	16.000	0	0.000	0	11.385	-3.000
chadormalu	rural_settlement	settlement	7.000	8.400	29.000	0	0.000	0	13.682	-3.000
chagan	rural_settlement	settlement	3.000	2.400	6.000	0	0.000	0	6.784	-8.000
chagri	rural_settlement	settlement	1.000	0.800	6.000	0	0.000	0	3.476	-8.000
chahar_taq	rural_settlement	settlement	3.000	5.200	19.000	0	0.000	0	10.818	-3.000
chaharla	rural_settlement	settlement	3.000	5.200	17.000	0	0.000	0	10.678	-3.000
chahuk	rural_settlement	settlement	3.000	3.600	18.000	0	0.000	0	9.195	-3.000
chairekla	rural_settlement	settlement	3.000	5.200	18.000	0	0.000	0	10.748	-3.000
chaireon	rural_settlement	settlement	7.000	12.800	33.000	0	0.000	0	15.958	-3.000
chakrakot	town	city	10.000	11.400	13.000	0	0.000	0	15.502	-3.000
chaladidi	rural_settlement	settlement	7.000	11.600	18.000	0	0.000	0	14.435	-3.000
chalcedon	town	city	17.000	30.200	31.000	1	1.000	1	24.070	9.000
chalcis	city	city	8.000	15.200	33.000	0	1.000	1	20.040	2.000
chalcis_ad_belum	rural_settlement	settlement	6.000	10.000	26.000	0	0.000	0	14.289	-3.000
chaleion	rural_settlement	settlement	8.000	13.200	24.000	0	0.000	0	15.477	-3.000
chalkis_libanou	town	city	9.000	13.400	29.000	2	0.000	0	18.608	1.000
chamavia	rural_settlement	settlement	3.000	2.600	5.000	0	0.000	0	7.011	-8.000
chamoria	rural_settlement	settlement	1.000	0.800	0.000	0	0.000	0	3.056	-8.000
chandaniot	rural_settlement	settlement	17.000	28.000	28.000	0	0.000	0	19.470	-3.000
chanderi	rural_settlement	settlement	11.000	10.000	24.000	0	0.000	0	14.149	-3.000
chandraketugarh	rural_settlement	settlement	6.000	9.400	22.000	0	0.000	0	13.717	-3.000
chandravalli	rural_settlement	settlement	10.000	19.000	9.000	0	0.000	0	16.208	-3.000
chaonia	rural_settlement	settlement	6.000	8.000	26.000	0	0.000	0	13.246	-3.000
characmoba	rural_settlement	settlement	4.000	4.600	23.000	0	0.000	0	10.568	-3.000
charamithas	rural_settlement	settlement	2.000	2.600	17.000	0	0.000	0	7.851	-3.000
charax	town	city	13.000	21.800	22.000	0	0.000	0	19.299	2.000
charinda	city	city	15.000	25.400	38.000	2	0.000	0	22.390	5.000
charmodara	town	city	7.000	12.000	20.000	0	0.000	0	16.238	-2.000
charton	rural_settlement	settlement	2.000	2.600	18.000	0	0.000	0	7.921	-3.000
charudia	rural_settlement	settlement	3.000	3.400	1.000	0	0.000	0	7.774	-3.000
charudiana	rural_settlement	settlement	2.000	1.600	5.000	0	0.000	0	5.319	-8.000
charva	rural_settlement	settlement	6.000	10.200	21.000	0	0.000	0	14.033	-3.000
chasuaria	rural_settlement	settlement	2.000	2.600	5.000	0	0.000	0	7.011	-8.000
chatra	rural_settlement	settlement	9.000	16.600	20.000	0	0.000	0	16.313	-3.000
chattuaria	rural_settlement	settlement	3.000	4.000	0.000	0	0.000	0	8.369	-3.000
chaucia	rural_settlement	settlement	3.000	2.600	5.000	0	0.000	0	7.011	-8.000
chauon	rural_settlement	settlement	3.000	5.200	20.000	0	0.000	0	10.888	-3.000
chauragarh	rural_settlement	settlement	4.000	8.000	8.000	0	0.000	0	11.986	-3.000
chaurina	rural_settlement	settlement	3.000	4.400	28.000	0	0.000	0	10.729	-3.000
chavadi	rural_settlement	settlement	8.000	10.800	18.000	0	0.000	0	14.094	-3.000
chavusy	rural_settlement	settlement	1.000	0.800	0.000	0	0.000	0	3.056	-8.000
chemmis	rural_settlement	settlement	10.000	13.600	27.000	0	0.000	0	15.831	-3.000
chengam	rural_settlement	settlement	6.000	8.400	18.000	0	0.000	0	12.912	-3.000
cherchen	town	city	19.000	24.400	22.000	0	0.000	0	19.861	3.000
chernyanka	rural_settlement	settlement	2.000	1.600	0.000	0	0.000	0	4.969	-8.000
chersis	rural_settlement	settlement	4.000	7.600	21.000	0	0.000	0	12.659	-3.000
chersonesos	town	city	19.000	34.000	26.000	0	1.000	1	23.555	8.000
chersonesos_vanavasi	town	city	20.000	30.000	14.000	0	1.000	1	22.084	5.000
chervonoye	rural_settlement	settlement	3.000	2.400	7.000	0	0.000	0	6.854	-8.000
chettaia	rural_settlement	settlement	4.000	6.200	28.000	0	0.000	0	12.225	-3.000
chevka	rural_settlement	settlement	2.000	1.600	0.000	0	0.000	0	4.969	-8.000
chhamb	rural_settlement	settlement	4.000	4.600	6.000	0	0.000	0	9.378	-3.000
chhindwara	rural_settlement	settlement	1.000	0.800	8.000	0	0.000	0	3.616	-8.000
chigu	rural_settlement	settlement	4.000	3.600	5.000	0	0.000	0	8.285	-3.000
chilpek	rural_settlement	settlement	8.000	6.800	15.000	0	0.000	0	11.731	-3.000
chimpyu	rural_settlement	settlement	4.000	5.200	8.000	0	0.000	0	10.048	-3.000
chinaz	rural_settlement	settlement	1.000	0.800	0.000	0	0.000	0	3.056	-8.000
chintamani	rural_settlement	settlement	10.000	16.000	20.000	0	0.000	0	16.133	-3.000
chios	town	city	9.000	19.000	20.000	0	1.000	1	20.225	3.000
chioukh	rural_settlement	settlement	2.000	1.600	3.000	0	0.000	0	5.179	-8.000
chishtian	rural_settlement	settlement	9.000	14.400	21.000	0	0.000	0	15.689	-3.000
chitradurga	rural_settlement	settlement	9.000	12.200	11.000	0	0.000	0	14.187	-3.000
chittagong	rural_settlement	settlement	5.000	6.400	6.000	0	1.000	1	12.575	-3.000
chlef	rural_settlement	settlement	3.000	2.600	10.000	0	0.000	0	7.361	-8.000
chlomaron	rural_settlement	settlement	5.000	6.800	34.000	0	0.000	0	13.061	-3.000
choana	rural_settlement	settlement	9.000	12.200	31.000	0	0.000	0	15.587	-3.000
choana_medias	rural_settlement	settlement	10.000	14.000	29.000	0	0.000	0	16.112	-3.000
choarene	rural_settlement	settlement	4.000	3.400	17.000	0	0.000	0	8.894	-3.000
choaspes	rural_settlement	settlement	4.000	4.400	31.000	0	0.000	0	10.939	-3.000
choatina	rural_settlement	settlement	3.000	5.200	17.000	0	0.000	0	10.678	-3.000
choatras	rural_settlement	settlement	4.000	4.400	28.000	0	0.000	0	10.729	-3.000
choba	rural_settlement	settlement	5.000	8.400	26.000	0	1.000	1	15.219	-3.000
chodda	rural_settlement	settlement	5.000	6.800	29.000	0	0.000	0	12.711	-3.000
chokun	rural_settlement	settlement	3.000	2.400	6.000	0	0.000	0	6.784	-8.000
cholbisina	rural_settlement	settlement	5.000	6.800	19.000	0	0.000	0	12.011	-3.000
choma	rural_settlement	settlement	3.000	3.600	13.000	0	0.000	0	8.845	-3.000
chomolangma	rural_settlement	settlement	6.000	6.400	6.000	0	0.000	0	10.828	-3.000
chongye	rural_settlement	settlement	6.000	8.000	6.000	0	0.000	0	11.846	-3.000
choromia	rural_settlement	settlement	12.000	16.800	31.000	0	0.000	0	17.142	-3.000
chorotus	rural_settlement	settlement	4.000	4.600	18.000	0	0.000	0	10.218	-3.000
chorsabia	rural_settlement	settlement	3.000	3.600	18.000	0	0.000	0	9.195	-3.000
chorzene	rural_settlement	settlement	4.000	6.000	20.000	0	0.000	0	11.519	-3.000
chroda	rural_settlement	settlement	5.000	6.000	0.000	0	0.000	0	10.119	-3.000
chrononia	rural_settlement	settlement	2.000	1.600	5.000	0	0.000	0	5.319	-8.000
chrononia_australis	rural_settlement	settlement	3.000	2.600	5.000	0	0.000	0	7.011	-8.000
chrononia_borealis	rural_settlement	settlement	2.000	1.600	5.000	0	0.000	0	5.319	-8.000
chullu	rural_settlement	settlement	3.000	5.000	24.000	0	0.000	0	10.997	-3.000
chunak	rural_settlement	settlement	4.000	5.400	8.000	0	0.000	0	10.213	-3.000
chust	town	city	14.000	20.600	24.000	0	0.000	0	19.158	2.000
chysis	rural_settlement	settlement	10.000	14.400	31.000	0	0.000	0	16.389	-3.000
chythroi	rural_settlement	settlement	6.000	11.000	26.000	0	0.000	0	14.742	-3.000
ciagisia	rural_settlement	settlement	4.000	4.200	8.000	0	0.000	0	9.133	-3.000
ciagisiana	rural_settlement	settlement	8.000	8.800	8.000	0	0.000	0	12.428	-3.000
cibalae	rural_settlement	settlement	4.000	4.200	13.000	0	0.000	0	9.483	-3.000
cibarcia	rural_settlement	settlement	8.000	9.000	11.000	0	0.000	0	12.743	-3.000
cicucium	rural_settlement	settlement	3.000	3.400	8.000	0	0.000	0	8.264	-3.000
cigra	rural_settlement	settlement	2.000	1.800	6.000	0	0.000	0	5.774	-8.000
cikamburika	rural_settlement	settlement	7.000	7.800	8.000	0	0.000	0	11.869	-3.000
cilician_gates_0	rural_settlement	settlement	3.000	3.600	22.000	2	0.000	0	10.684	-3.000
cillium	rural_settlement	settlement	5.000	7.000	21.000	0	0.000	0	12.283	-3.000
cimbria_australis	rural_settlement	settlement	3.000	2.400	3.000	0	0.000	0	6.574	-8.000
cimbria_borealis	rural_settlement	settlement	5.000	6.200	3.000	0	1.000	1	12.223	-3.000
